problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,aic,0.1,0.1,0,1,193.0,800.0,0.034246575,27.58061,0.32845059,0.026339941250000002,0.048133711,0.0045461715,-185.99224,-196.09337499999998,-195.93007,-196.25668,49.105207,36.754015,44.225841,29.282189,-185.99224,49.105207,0.32845059,-195.93007,44.225841,0.048133711,-196.25668,29.282189,0.0045461715
Braid_100,Braid,100,large,aic,1.0,1.0,0,1,0.0,800.0,0.0,1.9498379,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,aic,10.0,10,0,1,0.0,800.0,0.0,1.945334,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,bic,0.1,0.1,0,1,99.0,800.0,0.03030303,7.4236839,0.1492431,-0.0071692475,-0.0056533546,-0.0086851404,-191.46408,-195.01689499999998,-195.09487,-194.93892,60.945022,41.862894,40.803031,42.922757,-191.46408,60.945022,0.1492431,-195.09487,40.803031,-0.0056533546,-194.93892,42.922757,-0.0086851404
Braid_100,Braid,100,large,bic,1.0,1.0,0,1,0.0,800.0,0.0,1.9030249,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,bic,10.0,10,0,1,0.0,800.0,0.0,1.9267762,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,binotears,0.1,0.1,0,1,,,nan,0.055487156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,binotears,1.0,1.0,0,1,,,nan,0.05391407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,binotears,10.0,10,0,1,,,nan,0.060941696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Braid_100,Braid,100,large,bounded_tw,0.1,0.1,0,1,101.0,800.0,0.04,9.0050292,0.12454842,-0.0085693795,-0.03001235,0.012873591,-184.57921,-186.42289,-185.95094,-186.89484,63.987494,37.3000305,37.004856,37.595205,-184.57921,63.987494,0.12454842,-185.95094,37.004856,-0.03001235,-186.89484,37.595205,0.012873591
Braid_100,Braid,100,large,bounded_tw,1.0,1.0,0,1,0.0,800.0,0.0,3.8938777,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
