objective,variant,activation,loss,fitness_guided,success,best_fitness,generation,elapsed_time
Deceptive3,dendiff_gumbel,elu,huber,0,0.0,9.42,106.0,254.946
Deceptive3,dendiff_gumbel,elu,huber,1,0.0,9.445,106.05,268.9335
Deceptive3,dendiff_gumbel,elu,mse,0,0.0,9.655,113.6,219.80700000000002
Deceptive3,dendiff_gumbel,elu,mse,1,0.0,9.7,99.2,263.38
Deceptive3,dendiff_gumbel,elu,ranking,0,0.0,9.49,130.35,253.30450000000002
Deceptive3,dendiff_gumbel,elu,ranking,1,0.0,9.285,10.45,275.7205
Deceptive3,dendiff_gumbel,elu,weighted_mse,0,0.05,9.865,152.1,242.32150000000001
Deceptive3,dendiff_gumbel,elu,weighted_mse,1,0.05,9.870000000000001,122.8,250.88400000000001
Deceptive3,dendiff_gumbel,relu,huber,0,0.0,9.425,124.0,277.829
Deceptive3,dendiff_gumbel,relu,huber,1,0.0,9.41,117.95,313.116
Deceptive3,dendiff_gumbel,relu,mse,0,0.0,9.295,91.15,219.647
Deceptive3,dendiff_gumbel,relu,mse,1,0.0,9.3,62.15,250.93800000000002
Deceptive3,dendiff_gumbel,relu,ranking,0,0.0,9.335,103.9,249.82750000000001
Deceptive3,dendiff_gumbel,relu,ranking,1,0.0,9.18,16.8,319.6585
Deceptive3,dendiff_gumbel,relu,weighted_mse,0,0.0,9.265,74.85,215.3995
Deceptive3,dendiff_gumbel,relu,weighted_mse,1,0.0,9.175,15.2,268.95950000000005
Deceptive3,dendiff_gumbel,tanh,huber,0,0.0,9.440000000000001,140.1,254.26100000000002
Deceptive3,dendiff_gumbel,tanh,huber,1,0.0,9.445,114.4,277.4085
Deceptive3,dendiff_gumbel,tanh,mse,0,0.0,9.635,101.9,194.6205
Deceptive3,dendiff_gumbel,tanh,mse,1,0.0,9.725,109.65,216.79749999999999
Deceptive3,dendiff_gumbel,tanh,ranking,0,0.0,9.485,117.05,258.827
Deceptive3,dendiff_gumbel,tanh,ranking,1,0.0,9.305,7.25,257.5065
Deceptive3,dendiff_gumbel,tanh,weighted_mse,0,0.05,9.835,121.85,202.908
Deceptive3,dendiff_gumbel,tanh,weighted_mse,1,0.0,9.815000000000001,114.4,233.317
FC5,dendiff_gumbel,elu,huber,0,0.0,18.205000000000002,124.95,221.311
FC5,dendiff_gumbel,elu,huber,1,0.0,18.627000000000002,130.65,276.3505
FC5,dendiff_gumbel,elu,mse,0,0.0,19.168,110.1,197.35150000000002
FC5,dendiff_gumbel,elu,mse,1,0.0,20.18,21.15,263.8345
FC5,dendiff_gumbel,elu,ranking,0,0.0,19.848,142.5,224.95100000000002
FC5,dendiff_gumbel,elu,ranking,1,0.0,20.18,21.55,271.427
FC5,dendiff_gumbel,elu,weighted_mse,0,0.0,19.947,104.1,226.97199999999998
FC5,dendiff_gumbel,elu,weighted_mse,1,0.0,20.178,17.3,251.63449999999997
FC5,dendiff_gumbel,relu,huber,0,0.0,18.130000000000003,129.1,245.13649999999998
FC5,dendiff_gumbel,relu,huber,1,0.0,18.306,142.95,264.9375
FC5,dendiff_gumbel,relu,mse,0,0.0,18.687,142.7,202.64849999999998
FC5,dendiff_gumbel,relu,mse,1,0.0,20.149,125.2,219.46149999999997
FC5,dendiff_gumbel,relu,ranking,0,0.0,19.325,150.5,219.641
FC5,dendiff_gumbel,relu,ranking,1,0.0,20.18,12.6,237.71550000000002
FC5,dendiff_gumbel,relu,weighted_mse,0,0.0,19.486,136.2,191.3015
FC5,dendiff_gumbel,relu,weighted_mse,1,0.0,20.18,44.85,240.49699999999999
FC5,dendiff_gumbel,tanh,huber,0,0.0,18.497,126.95,239.6335
FC5,dendiff_gumbel,tanh,huber,1,0.0,18.702,139.7,242.9305
FC5,dendiff_gumbel,tanh,mse,0,0.0,19.244999999999997,141.6,198.7845
FC5,dendiff_gumbel,tanh,mse,1,0.0,20.18,16.5,219.8005
FC5,dendiff_gumbel,tanh,ranking,0,0.0,20.18,17.65,244.7415
FC5,dendiff_gumbel,tanh,ranking,1,0.0,20.18,8.05,269.1305
FC5,dendiff_gumbel,tanh,weighted_mse,0,0.0,20.178,18.25,217.9835
FC5,dendiff_gumbel,tanh,weighted_mse,1,0.0,20.178,13.3,250.089
HIFF,dendiff_gumbel,elu,huber,0,0.0,182.2,137.1,328.7
HIFF,dendiff_gumbel,elu,huber,1,0.0,182.2,149.6,318.742
HIFF,dendiff_gumbel,elu,mse,0,0.0,203.6,105.25,293.20050000000003
HIFF,dendiff_gumbel,elu,mse,1,0.0,210.1,129.2,296.537
HIFF,dendiff_gumbel,elu,ranking,0,0.0,204.5,109.7,322.8245
HIFF,dendiff_gumbel,elu,ranking,1,0.6,387.2,112.25,248.9435
HIFF,dendiff_gumbel,elu,weighted_mse,0,0.0,243.4,107.3,272.6865
HIFF,dendiff_gumbel,elu,weighted_mse,1,0.4,335.1,145.7,272.415
HIFF,dendiff_gumbel,relu,huber,0,0.0,181.9,109.5,310.606
HIFF,dendiff_gumbel,relu,huber,1,0.0,180.0,117.3,319.0845
HIFF,dendiff_gumbel,relu,mse,0,0.0,185.9,123.1,243.5045
HIFF,dendiff_gumbel,relu,mse,1,0.0,190.8,117.75,268.1785
HIFF,dendiff_gumbel,relu,ranking,0,0.0,188.4,142.05,294.975
HIFF,dendiff_gumbel,relu,ranking,1,0.05,218.6,159.95,313.483
HIFF,dendiff_gumbel,relu,weighted_mse,0,0.0,194.6,92.85,310.2845
