objective_function,algorithm,success,best_fitness,generation,elapsed_time
Deceptive3,EBNA,0.55,9.945,7.95,46.849000000000004
Deceptive3,MK-EDA1,1.0,10.0,13.75,9.4835
Deceptive3,MK-EDA2,1.0,10.0,5.8,10.555
Deceptive3,MK-EDA3,1.0,10.0,6.15,9.5315
Deceptive3,MN-FDA,0.0,9.684999999999999,26.05,24.168
Deceptive3,MN-FDAG,0.0,9.74,13.35,22.075
Deceptive3,TreeEDA,0.8,9.965,15.25,17.621000000000002
Deceptive3,UMDA,0.0,9.14,4.65,8.312999999999999
HIFF,EBNA,1.0,448.0,11.15,363.68449999999996
HIFF,MK-EDA1,1.0,448.0,11.05,58.07000000000001
HIFF,MK-EDA2,1.0,448.0,9.45,61.035000000000004
HIFF,MK-EDA3,1.0,448.0,8.7,60.080499999999994
HIFF,MN-FDA,0.05,306.0,37.25,183.304
HIFF,MN-FDAG,0.0,331.3,23.3,159.7855
HIFF,TreeEDA,1.0,448.0,12.0,139.999
HIFF,UMDA,0.0,285.2,26.3,59.409000000000006
KDeceptive3,EBNA,1.0,30.0,5.75,44.8555
KDeceptive3,MK-EDA1,1.0,30.0,5.3,10.778
KDeceptive3,MK-EDA2,1.0,30.0,4.85,12.396
KDeceptive3,MK-EDA3,1.0,30.0,5.0,11.6155
KDeceptive3,MN-FDA,1.0,30.0,9.3,27.8315
KDeceptive3,MN-FDAG,1.0,30.0,6.65,23.895500000000002
KDeceptive3,TreeEDA,1.0,30.0,6.25,19.1325
KDeceptive3,UMDA,0.5,29.35,14.85,10.3625
KDeceptive5,EBNA,0.0,26.3,7.55,41.584500000000006
KDeceptive5,MK-EDA1,0.65,29.65,143.65,10.4135
KDeceptive5,MK-EDA2,1.0,30.0,7.6,10.377500000000001
KDeceptive5,MK-EDA3,1.0,30.0,5.5,10.766499999999999
KDeceptive5,MN-FDA,0.0,24.3,5.9,25.0135
KDeceptive5,MN-FDAG,0.0,24.9,7.65,22.738
KDeceptive5,TreeEDA,0.05,25.65,8.95,19.77
KDeceptive5,UMDA,0.0,24.0,5.6,10.2135
OneMax,EBNA,1.0,30.0,5.1,42.89
OneMax,MK-EDA1,1.0,30.0,4.5,9.193999999999999
OneMax,MK-EDA2,1.0,30.0,4.9,9.7325
OneMax,MK-EDA3,1.0,30.0,4.9,9.693999999999999
OneMax,MN-FDA,1.0,30.0,5.2,24.256999999999998
OneMax,MN-FDAG,1.0,30.0,4.8,21.849
OneMax,TreeEDA,1.0,30.0,5.35,16.944
OneMax,UMDA,1.0,30.0,4.45,8.22
