objective,variant,enc,dec,beta_start,beta_end,latent_dim,epochs,success,best_fitness,generation,elapsed_time
Deceptive3,C-VAE,elu,elu,0.0,1.0,0,50,0.0,9.565,102.8,227.34650000000002
Deceptive3,C-VAE,elu,relu,0.0,1.0,0,50,0.0,9.8,17.7,241.43099999999998
Deceptive3,C-VAE,elu,tanh,0.0,1.0,0,50,0.0,9.545,92.35,259.8065
Deceptive3,C-VAE,relu,elu,0.0,1.0,0,50,0.0,9.57,130.0,286.804
Deceptive3,C-VAE,relu,relu,0.0,1.0,0,50,0.2,9.860000000000001,12.85,219.3665
Deceptive3,C-VAE,relu,tanh,0.0,1.0,0,50,0.0,9.52,94.2,265.6475
Deceptive3,C-VAE,tanh,elu,0.0,1.0,0,50,0.0,9.595,129.75,346.6225
Deceptive3,C-VAE,tanh,relu,0.0,1.0,0,50,0.1,9.805,16.85,232.79149999999998
Deceptive3,C-VAE,tanh,tanh,0.0,1.0,0,50,0.0,9.515,100.8,287.757
Deceptive3,E-VAE,elu,elu,0.0,1.0,0,50,0.0,9.375,101.55,274.70050000000003
Deceptive3,E-VAE,elu,relu,0.0,1.0,0,50,0.0,9.135,12.6,273.159
Deceptive3,E-VAE,elu,tanh,0.0,1.0,0,50,0.0,9.35,95.45,271.656
Deceptive3,E-VAE,relu,elu,0.0,1.0,0,50,0.0,9.360000000000001,113.05,269.239
Deceptive3,E-VAE,relu,relu,0.0,1.0,0,50,0.0,9.129999999999999,20.6,261.1515
Deceptive3,E-VAE,relu,tanh,0.0,1.0,0,50,0.0,9.355,98.65,272.03200000000004
Deceptive3,E-VAE,tanh,elu,0.0,1.0,0,50,0.0,9.345,116.7,276.163
Deceptive3,E-VAE,tanh,relu,0.0,1.0,0,50,0.0,9.125,25.1,272.92449999999997
Deceptive3,E-VAE,tanh,tanh,0.0,1.0,0,50,0.0,9.365,96.2,266.326
Deceptive3,VAE,elu,elu,0.0,1.0,0,50,0.0,9.33,86.0,215.13000000000002
Deceptive3,VAE,elu,relu,0.0,1.0,0,50,0.0,9.139999999999999,39.0,217.525
Deceptive3,VAE,elu,tanh,0.0,1.0,0,50,0.0,9.32,86.65,223.73449999999997
Deceptive3,VAE,relu,elu,0.0,1.0,0,50,0.0,9.330000000000002,90.35,265.071
Deceptive3,VAE,relu,relu,0.0,1.0,0,50,0.0,9.135,28.85,214.465
Deceptive3,VAE,relu,tanh,0.0,1.0,0,50,0.0,9.360000000000001,121.0,237.246
Deceptive3,VAE,tanh,elu,0.0,1.0,0,50,0.0,9.32,80.1,223.76799999999997
Deceptive3,VAE,tanh,relu,0.0,1.0,0,50,0.0,9.135,20.15,245.267
Deceptive3,VAE,tanh,tanh,0.0,1.0,0,50,0.0,9.370000000000001,94.4,221.075
HIFF,C-VAE,elu,elu,0.0,1.0,0,50,0.0,193.3,150.9,258.14099999999996
HIFF,C-VAE,elu,relu,0.0,1.0,0,50,0.1,321.9,34.65,223.705
HIFF,C-VAE,elu,tanh,0.0,1.0,0,50,0.0,183.1,104.45,247.43699999999998
HIFF,C-VAE,relu,elu,0.0,1.0,0,50,0.0,194.5,158.7,254.1275
HIFF,C-VAE,relu,relu,0.0,1.0,0,50,0.2,340.8,36.15,197.322
HIFF,C-VAE,relu,tanh,0.0,1.0,0,50,0.0,183.5,117.6,251.25799999999998
HIFF,C-VAE,tanh,elu,0.0,1.0,0,50,0.0,191.8,133.55,279.424
HIFF,C-VAE,tanh,relu,0.0,1.0,0,50,0.15,328.9,34.8,217.40050000000002
HIFF,C-VAE,tanh,tanh,0.0,1.0,0,50,0.0,182.6,116.6,253.13299999999998
HIFF,E-VAE,elu,elu,0.0,1.0,0,50,0.0,181.3,97.35,338.934
HIFF,E-VAE,elu,relu,0.0,1.0,0,50,0.0,285.4,155.6,287.43899999999996
HIFF,E-VAE,elu,tanh,0.0,1.0,0,50,0.0,179.8,102.75,311.113
HIFF,E-VAE,relu,elu,0.0,1.0,0,50,0.0,181.6,93.15,288.786
HIFF,E-VAE,relu,relu,0.0,1.0,0,50,0.15,307.9,178.2,264.4965
HIFF,E-VAE,relu,tanh,0.0,1.0,0,50,0.0,180.9,116.45,349.23249999999996
HIFF,E-VAE,tanh,elu,0.0,1.0,0,50,0.0,180.7,108.3,294.52200000000005
HIFF,E-VAE,tanh,relu,0.0,1.0,0,50,0.0,288.1,180.0,305.528
HIFF,E-VAE,tanh,tanh,0.0,1.0,0,50,0.0,180.3,117.55,300.011
HIFF,VAE,elu,elu,0.0,1.0,0,50,0.0,178.6,110.75,276.65
HIFF,VAE,elu,relu,0.0,1.0,0,50,0.0,269.7,79.35,262.94899999999996
HIFF,VAE,elu,tanh,0.0,1.0,0,50,0.0,179.8,122.85,246.673
HIFF,VAE,relu,elu,0.0,1.0,0,50,0.0,178.8,130.9,242.68099999999998
HIFF,VAE,relu,relu,0.0,1.0,0,50,0.0,265.8,85.2,242.24200000000002
HIFF,VAE,relu,tanh,0.0,1.0,0,50,0.0,179.4,121.8,236.925
HIFF,VAE,tanh,elu,0.0,1.0,0,50,0.0,179.7,131.0,242.95700000000002
HIFF,VAE,tanh,relu,0.0,1.0,0,50,0.0,262.2,94.65,246.94899999999998
HIFF,VAE,tanh,tanh,0.0,1.0,0,50,0.0,179.5,122.95,241.75549999999998
KDeceptive3,C-VAE,elu,elu,0.0,1.0,0,50,0.0,27.55,142.65,263.976
KDeceptive3,C-VAE,elu,relu,0.0,1.0,0,50,0.9,29.9,11.3,37.695499999999996
KDeceptive3,C-VAE,elu,tanh,0.0,1.0,0,50,0.0,26.8,107.45,277.1535
KDeceptive3,C-VAE,relu,elu,0.0,1.0,0,50,0.05,27.45,81.45,227.3545
KDeceptive3,C-VAE,relu,relu,0.0,1.0,0,50,0.95,29.95,11.25,27.190500000000004
KDeceptive3,C-VAE,relu,tanh,0.0,1.0,0,50,0.0,26.5,104.95,271.052
KDeceptive3,C-VAE,tanh,elu,0.0,1.0,0,50,0.0,27.55,112.4,222.87849999999997
KDeceptive3,C-VAE,tanh,relu,0.0,1.0,0,50,0.9,29.9,8.75,32.05
KDeceptive3,C-VAE,tanh,tanh,0.0,1.0,0,50,0.0,26.45,89.85,233.796
KDeceptive3,E-VAE,elu,elu,0.0,1.0,0,50,0.0,24.8,96.55,279.976
KDeceptive3,E-VAE,elu,relu,0.0,1.0,0,50,0.1,25.55,27.05,267.5895
KDeceptive3,E-VAE,elu,tanh,0.0,1.0,0,50,0.0,24.75,87.65,268.605
KDeceptive3,E-VAE,relu,elu,0.0,1.0,0,50,0.0,25.0,116.5,267.536
KDeceptive3,E-VAE,relu,relu,0.0,1.0,0,50,0.0,25.3,20.3,292.64099999999996
KDeceptive3,E-VAE,relu,tanh,0.0,1.0,0,50,0.0,24.85,77.85,274.2045
KDeceptive3,E-VAE,tanh,elu,0.0,1.0,0,50,0.0,24.8,88.8,316.116
KDeceptive3,E-VAE,tanh,relu,0.0,1.0,0,50,0.0,25.7,42.7,266.5795
KDeceptive3,E-VAE,tanh,tanh,0.0,1.0,0,50,0.0,25.0,93.7,274.2315
KDeceptive3,VAE,elu,elu,0.0,1.0,0,50,0.0,24.95,111.8,217.3105
KDeceptive3,VAE,elu,relu,0.0,1.0,0,50,0.05,26.0,29.5,209.03249999999997
KDeceptive3,VAE,elu,tanh,0.0,1.0,0,50,0.0,24.95,107.25,264.4395
KDeceptive3,VAE,relu,elu,0.0,1.0,0,50,0.0,25.1,111.45,230.00549999999998
KDeceptive3,VAE,relu,relu,0.0,1.0,0,50,0.1,26.5,20.4,250.63049999999998
KDeceptive3,VAE,relu,tanh,0.0,1.0,0,50,0.0,25.25,117.15,271.9105
KDeceptive3,VAE,tanh,elu,0.0,1.0,0,50,0.0,25.05,100.95,222.1415
KDeceptive3,VAE,tanh,relu,0.0,1.0,0,50,0.0,26.1,19.5,229.25500000000002
KDeceptive3,VAE,tanh,tanh,0.0,1.0,0,50,0.0,25.15,106.2,251.81599999999997
KDeceptive5,C-VAE,elu,elu,0.0,1.0,0,50,0.0,27.6,142.1,227.017
KDeceptive5,C-VAE,elu,relu,0.0,1.0,0,50,0.0,27.35,31.35,233.19250000000002
KDeceptive5,C-VAE,elu,tanh,0.0,1.0,0,50,0.0,26.4,123.3,224.804
KDeceptive5,C-VAE,relu,elu,0.0,1.0,0,50,0.05,28.2,158.45,258.67199999999997
KDeceptive5,C-VAE,relu,relu,0.0,1.0,0,50,0.0,27.45,10.3,222.978
KDeceptive5,C-VAE,relu,tanh,0.0,1.0,0,50,0.0,26.5,123.6,230.5955
KDeceptive5,C-VAE,tanh,elu,0.0,1.0,0,50,0.1,27.85,138.75,226.4445
KDeceptive5,C-VAE,tanh,relu,0.0,1.0,0,50,0.0,27.3,24.4,223.679
KDeceptive5,C-VAE,tanh,tanh,0.0,1.0,0,50,0.0,26.05,133.6,236.47199999999998
KDeceptive5,E-VAE,elu,elu,0.0,1.0,0,50,0.0,23.75,86.1,264.854
KDeceptive5,E-VAE,elu,relu,0.0,1.0,0,50,0.0,24.25,21.1,269.25149999999996
KDeceptive5,E-VAE,elu,tanh,0.0,1.0,0,50,0.0,23.75,97.5,266.1635
KDeceptive5,E-VAE,relu,elu,0.0,1.0,0,50,0.0,23.75,89.1,265.296
KDeceptive5,E-VAE,relu,relu,0.0,1.0,0,50,0.0,24.2,33.95,279.398
KDeceptive5,E-VAE,relu,tanh,0.0,1.0,0,50,0.0,23.9,104.1,283.9925
KDeceptive5,E-VAE,tanh,elu,0.0,1.0,0,50,0.0,23.8,81.9,289.8145
KDeceptive5,E-VAE,tanh,relu,0.0,1.0,0,50,0.0,24.35,48.2,267.9585
KDeceptive5,E-VAE,tanh,tanh,0.0,1.0,0,50,0.0,23.8,86.55,316.96950000000004
KDeceptive5,VAE,elu,elu,0.0,1.0,0,50,0.0,24.05,61.2,215.56799999999998
KDeceptive5,VAE,elu,relu,0.0,1.0,0,50,0.0,24.15,13.2,244.427
KDeceptive5,VAE,elu,tanh,0.0,1.0,0,50,0.0,23.9,90.75,233.19299999999998
KDeceptive5,VAE,relu,elu,0.0,1.0,0,50,0.0,24.05,82.9,216.75300000000001
KDeceptive5,VAE,relu,relu,0.0,1.0,0,50,0.0,24.25,31.7,210.85
KDeceptive5,VAE,relu,tanh,0.0,1.0,0,50,0.0,23.9,83.15,219.525
KDeceptive5,VAE,tanh,elu,0.0,1.0,0,50,0.0,24.1,84.55,294.5645
KDeceptive5,VAE,tanh,relu,0.0,1.0,0,50,0.0,24.35,51.6,228.311
KDeceptive5,VAE,tanh,tanh,0.0,1.0,0,50,0.0,24.0,88.0,232.666
OneMax,C-VAE,elu,elu,0.0,1.0,0,50,0.85,29.85,116.5,134.0495
OneMax,C-VAE,elu,relu,0.0,1.0,0,50,1.0,30.0,3.9,8.417
OneMax,C-VAE,elu,tanh,0.0,1.0,0,50,0.35,29.35,73.25,193.1365
OneMax,C-VAE,relu,elu,0.0,1.0,0,50,0.95,29.95,94.8,105.29549999999999
OneMax,C-VAE,relu,relu,0.0,1.0,0,50,1.0,30.0,3.95,6.5760000000000005
OneMax,C-VAE,relu,tanh,0.0,1.0,0,50,0.35,29.35,73.4,183.6
OneMax,C-VAE,tanh,elu,0.0,1.0,0,50,0.8,29.8,102.45,135.9095
OneMax,C-VAE,tanh,relu,0.0,1.0,0,50,1.0,30.0,3.9,6.662999999999999
