generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
1,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
2,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
3,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
4,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
5,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
6,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
7,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
8,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
9,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
10,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
11,7,0.25,1.75,1.75,1.75,7,0,0.125,0.25,1.75,1,1.75,1,1,2,-1,1,8,8,2,7,21,35,1.11022e-16,1,0,0
