generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,8,1,1,1,8,0,0,0,8,0,0
1,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,8,1,1,1,8,0,0,0,8,0,0
2,1,0.0357143,0.25,0.25,0.25,1,0,0,0.0357143,964286,0.0357143,1,1,1,1,0,7,1.14286,2,2,7,0,0,0,7,0,2
3,1,0.0357143,0.25,0.25,0.25,1,0,0,0.0357143,964286,0.0357143,1,1,1,1,0,7,1.14286,2,2,7,0,0,0,7,0,4
4,3,0.107143,0.75,0.75,0.75,1,0,0,0.0357143,892857,0.107143,1,1,1,1,0,5,1.6,2,2,5,0,0,0.666667,5,0,8
5,3,0.107143,0.75,0.75,0.75,1,0,0,0.0357143,892857,0.107143,1,1,1,1,0,5,1.6,2,2,5,0,0,0.666667,5,0,0
6,4,0.142857,1,1,1,1,0,0,0.0357143,857143,0.142857,1,1,1,1,0,4,2,2,2,4,0,0,0.75,4,0,2
7,5,0.178571,1.25,1.25,1.25,2,0,0.0595238,0.15,607144,0.392857,1.90909,1,2,4,0.166667,3,2.66667,5,2,6,3,2,0.42,4,0.125,6
8,3,0.107143,0.75,0.75,0.75,1,0,0,0.0357143,892857,0.107143,1,1,1,1,0,5,1.6,2,2,5,0,0,0.666667,5,0,4
9,4,0.142857,1,1,1,2,0,0.0119048,0.0714286,785715,0.214286,1.33333,1,1,2,-1,4,2,3,2,6,2,0,0.5,4,0,6
10,3,0.107143,0.75,0.75,0.75,2,0,0.00595238,0.0595238,857143,0.142857,1.25,1,1,2,-0.5,5,1.6,3,2,6,1,0,0.444444,5,0,6
11,1,0.0357143,0.25,0.25,0.25,1,0,0,0.0357143,964286,0.0357143,1,1,1,1,0,7,1.14286,2,2,7,0,0,0,7,0,4
12,3,0.107143,0.75,0.75,0.75,3,0,0.0178571,0.107143,785715,0.214286,1.5,1,1,2,-1,5,1.6,4,2,7,3,1,0,5,0,4
