generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,2,0.0714286,0.5,0.5,0.5,2,0,0.00595238,0.0714286,892857,0.107143,1.33333,1,1,2,-1,6,1.33333,3,2,7,1,0,0,6,0,0
1,1,0.0357143,0.25,0.25,0.25,1,0,0,0.0357143,964286,0.0357143,1,1,1,1,0,7,1.14286,2,2,7,0,0,0,7,0,2
2,2,0.0714286,0.5,0.5,0.5,1,0,0,0.0357143,928572,0.0714286,1,1,1,1,0,6,1.33333,2,2,6,0,0,0.5,6,0,2
3,6,0.214286,1.5,1.5,1.5,2,0,0.119048,0.214286,428573,0.571429,2.25,1,3,5,0.25,2,4,6,2,6,4,3,0.402778,4,0.25,12
4,5,0.178571,1.25,1.25,1.25,2,0,0.0238095,0.0857143,714286,0.285714,1.5,1,2,3,0.166667,3,2.66667,4,2,5,2,1,0.56,3,0,6
5,4,0.142857,1,1,1,2,0,0.00595238,0.0535714,821429,0.178571,1.2,1,1,2,-0.333333,4,2,3,2,5,1,0,0.625,4,0,6
6,3,0.107143,0.75,0.75,0.75,1,0,0,0.0357143,892857,0.107143,1,1,1,1,0,5,1.6,2,2,5,0,0,0.666667,5,0,2
7,4,0.142857,1,1,1,2,0,0.00595238,0.0535714,821429,0.178571,1.2,1,1,2,-0.333333,4,2,3,2,5,1,0,0.625,4,0,2
8,4,0.142857,1,1,1,2,0,0.00595238,0.0535714,821429,0.178571,1.2,1,1,2,-0.333333,4,2,3,2,5,1,0,0.625,4,0,4
9,4,0.142857,1,1,1,2,0,0.0238095,0.0982143,750000,0.25,1.57143,1,2,3,0,4,2,4,2,6,2,1,0.40625,5,0.125,4
10,3,0.107143,0.75,0.75,0.75,1,0,0,0.0357143,892857,0.107143,1,1,1,1,0,5,1.6,2,2,5,0,0,0.666667,5,0,2
11,4,0.142857,1,1,1,2,0,0.0238095,0.0982143,750000,0.25,1.57143,1,2,3,0,4,2,4,2,6,2,1,0.40625,5,0.125,2
