generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,0
1,16,0.152381,2.13333,2.13333,2.13333,3,0.866667,0,0.00952381,847619,0.152381,1,0.0625,1,1,1,5,3,4,4,5,7,1,0.75,5,0,30
2,16,0.152381,2.13333,2.13333,2.13333,3,0.866667,0,0.00952381,847619,0.152381,1,0.0625,1,1,1,5,3,4,4,5,7,1,0.75,5,0,0
3,15,0.142857,2,2,2,2,1,0,0.00952381,857143,0.142857,1,0,1,1,0,5,3,3,3,5,5,0,0.8,5,0,10
4,15,0.142857,2,2,2,2,1,0,0.00952381,857143,0.142857,1,0,1,1,0,5,3,3,3,5,5,0,0.8,5,0,0
5,15,0.142857,2,2,2,2,1,0,0.00952381,857143,0.142857,1,0,1,1,0,5,3,3,3,5,5,0,0.8,5,0,0
6,15,0.142857,2,2,2,2,1,0,0.00952381,857143,0.142857,1,0,1,1,0,5,3,3,3,5,5,0,0.8,5,0,0
7,15,0.142857,2,2,2,2,1,0,0.00952381,857143,0.142857,1,0,1,1,0,5,3,3,3,5,5,0,0.8,5,0,0
8,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,28
9,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,0
10,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,0
11,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,0
12,21,0.2,2.8,2.8,2.8,3,1,0,0.00952381,800000,0.2,1,0,1,1,1,4,3.75,4,4,4,13,3,0.734694,4,0,0
