generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,11,0.052381,0.733333,0.733333,1.46667,2,0.2,0.0003663,0.00562771,942857,0.0571429,1.08333,1,0,0,-0.559017,6,2.5,6,3,10,6,3,0.644628,6,0,0
1,15,0.0714286,1,1,2,4,0.244444,0.0040293,0.0107937,890476,0.109524,1.47826,1,0,0,-0.292174,4,3.75,9,3,10,17,26,0.573333,6,0.146296,4
2,17,0.0809524,1.13333,1.13333,2.26667,4,0.427778,0.00512821,0.0114846,871429,0.128571,1.51852,1,0,0,-0.451122,3,5,9,3,7,14,18,0.679931,5,0.100926,4
3,18,0.0857143,1.2,1.2,2.4,4,0.383333,0.00769231,0.0142857,842857,0.157143,1.63636,1,0,0,-0.478091,2,7.5,12,3,8,18,25,0.631173,5,0.160185,1
4,21,0.1,1.4,1.4,2.8,5,0.317778,0.0131868,0.0179138,795238,0.204762,1.83721,1,0,0,-0.139042,1,15,15,3,10,32,58,0.511338,5,0.274148,3
5,22,0.104762,1.46667,1.46667,2.93333,5,0.263333,0.0131868,0.0183983,766667,0.233333,1.73469,1,0,0,0.159909,1,15,15,3,12,42,97,0.432851,5,0.311963,7
6,15,0.0714286,1,1,2,4,0.15,0.0102564,0.02,833334,0.166667,1.8,1,0,0,-0.145479,2,7.5,12,3,11,19,31,0.588889,5,0.142593,7
7,18,0.0857143,1.2,1.2,2.4,6,0.0433333,0.00769231,0.0153439,823810,0.17619,1.56757,1,0,0,0.108465,1,15,15,4,12,46,107,0.353395,5,0.24137,17
8,12,0.0571429,0.8,0.8,1.6,4,0,0.0014652,0.00793651,923810,0.0761905,1.25,1,0,0,0.447214,3,5,9,2,12,14,18,0.628472,5,0.100926,6
9,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,12
10,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
11,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
12,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
