generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,7,0.0333333,0.466667,0.466667,0.933333,2,0,0.0003663,0.00612245,961905,0.0380952,1.125,1,0,0,-0.0912871,8,1.875,4,2,12,4,1,0.653061,8,0,0
1,14,0.0666667,0.933333,0.933333,1.86667,4,0.172222,0.00512821,0.0129252,885714,0.114286,1.58333,1,0,0,-0.730297,3,5,9,3,10,12,12,0.645408,5,0.108333,9
2,17,0.0809524,1.13333,1.13333,2.26667,3,0.411111,0.00512821,0.0114846,871429,0.128571,1.51852,1,0,0,-0.378489,3,5,6,3,7,13,12,0.681661,5,0.118519,7
3,19,0.0904762,1.26667,1.26667,2.53333,4,0.355556,0.0161172,0.0223058,785715,0.214286,1.97778,1,0,0,-0.0381025,1,15,15,3,9,23,39,0.587258,5,0.201852,2
4,19,0.0904762,1.26667,1.26667,2.53333,4,0.338889,0.0150183,0.0205514,804762,0.195238,2,1,0,0,-0.273485,1,15,15,3,9,22,33,0.587258,5,0.219444,6
5,18,0.0857143,1.2,1.2,2.4,4,0.261111,0.018315,0.0253968,780953,0.219048,2.08696,1,0,0,-0.0944911,1,15,15,3,10,22,33,0.570988,5,0.219444,5
6,14,0.0666667,0.933333,0.933333,1.86667,4,0.15,0.00769231,0.0170068,861905,0.138095,1.72414,1,0,0,-0.125,3,5,9,3,10,14,18,0.640306,5,0.100926,4
7,14,0.0666667,0.933333,0.933333,1.86667,3,0,0.0611722,0.0802721,671430,0.328571,3.42029,1,0,0,0.416667,2,7.5,12,2,14,15,19,0.538265,4,0.125926,10
8,6,0.0285714,0.4,0.4,0.8,2,0,0.0010989,0.00952381,957143,0.0428571,1.33333,1,0,0,0,9,1.66667,3,2,12,3,0,0.666667,9,0,8
9,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,6
10,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
11,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
12,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
