generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,13,0.12381,1.73333,1.73333,1.73333,3,0.266667,0.0249084,0.0483516,695239,0.304762,2.0625,0.538462,3,5,0.103448,4,3.75,7,3,10,11,9,0.612426,5,0.062963,0
1,18,0.171429,2.4,2.4,2.4,4,0.355556,0.168498,0.177249,3.19048,1,3.19048,0.5,4,7,-0.17551,1,15,15,3,12,25,40,0.513889,5,0.268519,14
2,23,0.219048,3.06667,3.06667,3.06667,5,0.655556,0.12967,0.11677,2.68571,1,2.68571,0.0869565,3,6,0.0597484,1,15,15,3,10,40,82,0.449905,4,0.243889,18
3,24,0.228571,3.2,3.2,3.2,6,0.606667,0.118681,0.105952,2.54286,1,2.54286,0.0416667,3,5,0.0612777,1,15,15,3,10,43,89,0.429688,4,0.309259,18
4,21,0.2,2.8,2.8,2.8,6,0.597778,0.0908425,0.0975057,133335,0.866667,2.36264,0.047619,3,5,-0.118012,2,7.5,14,3,10,40,86,0.437642,4,0.111111,38
5,27,0.257143,3.6,3.6,3.6,7,0.433651,0.0886447,0.0797178,2.15238,1,2.15238,0.111111,2,4,-0.0807453,1,15,15,3,13,64,161,0.365569,3,0.282797,36
6,23,0.219048,3.06667,3.06667,3.06667,6,0.453333,0.0666667,0.0703934,247621,0.752381,2.1519,0.173913,3,4,-0.039548,2,7.5,13,3,12,44,85,0.436673,4,0.223667,32
7,25,0.238095,3.33333,3.33333,3.33333,6,0.548889,0.117216,0.100952,2.52381,1,2.52381,0.12,3,5,-0.0452962,1,15,15,3,12,49,103,0.4184,4,0.291259,32
8,24,0.228571,3.2,3.2,3.2,6,0.54,0.0615385,0.0642857,257144,0.742857,2.07692,0,2,4,0.101754,3,5,13,4,11,51,113,0.329861,5,0.266333,42
9,24,0.228571,3.2,3.2,3.2,7,0.569206,0.0769231,0.0777778,133335,0.866667,2.15385,0.0416667,2,4,-0.0543559,2,7.5,14,3,12,51,118,0.394965,5,0.302814,48
10,20,0.190476,2.66667,2.66667,2.66667,4,0.755556,0.0769231,0.0828571,342859,0.657143,2.52174,0.05,3,5,0.347826,2,7.5,12,3,8,24,36,0.54125,5,0.226852,36
11,22,0.209524,2.93333,2.93333,2.93333,5,0.448889,0.109158,0.103896,133336,0.866667,2.63736,0.136364,3,6,0.0609756,2,7.5,14,3,12,46,95,0.387397,5,0.269926,48
12,15,0.142857,2,2,2,3,0.644444,0.0021978,0.0133333,828572,0.171429,1.16667,0.133333,1,2,0.0625,5,3,4,3,8,10,2,0.72,5,0,38
