generation,n_edges,density,indegree_mean,outdegree_mean,degree_mean,degree_max,clustering_mean,vertex_betweenness_mean,edge_betweenness_mean,pair_distance_mean,reachability_mean,characteristic_path_length,shortcut_probability,radius,diameter,assortativity,n_components,avg_component_size,largest_component_size,max_clique_size,n_maximal_cliques,motif_number_z3,motif_number_z4,max_modularity,n_communities,participation_mean,dagdif
0,14,0.133333,1.86667,1.86667,1.86667,3,0,0.189744,0.247619,3.46667,1,3.46667,1,4,7,-0.217391,1,15,15,2,14,18,26,0.522959,4,0.148148,0
1,14,0.133333,1.86667,1.86667,1.86667,3,0,0.219048,0.27483,3.84762,1,3.84762,1,5,9,-0.0425532,1,15,15,2,14,16,21,0.517857,3,0.122222,12
2,14,0.133333,1.86667,1.86667,1.86667,3,0,0.241026,0.295238,4.13333,1,4.13333,1,5,10,0.188406,1,15,15,2,14,15,19,0.517857,4,0.174074,12
3,14,0.133333,1.86667,1.86667,1.86667,3,0,0.227839,0.282993,3.9619,1,3.9619,1,5,9,0.188406,1,15,15,2,14,15,19,0.512755,3,0.125926,4
4,14,0.133333,1.86667,1.86667,1.86667,3,0,0.227839,0.282993,3.9619,1,3.9619,1,5,9,-0.435897,1,15,15,2,14,17,21,0.515306,4,0.188889,8
5,14,0.133333,1.86667,1.86667,1.86667,3,0,0.254212,0.307483,4.30476,1,4.30476,1,5,9,-0.435897,1,15,15,2,14,17,21,0.512755,4,0.185185,8
6,14,0.133333,1.86667,1.86667,1.86667,3,0,0.263004,0.315646,4.41905,1,4.41905,1,5,10,-0.340426,1,15,15,2,14,16,19,0.522959,4,0.174074,8
7,14,0.133333,1.86667,1.86667,1.86667,4,0,0.188278,0.246259,3.44762,1,3.44762,1,4,7,-0.566434,1,15,15,2,14,22,34,0.512755,5,0.205556,16
8,14,0.133333,1.86667,1.86667,1.86667,4,0,0.157509,0.217687,3.04762,1,3.04762,1,3,6,-0.448276,1,15,15,2,14,24,44,0.512755,5,0.184259,20
9,14,0.133333,1.86667,1.86667,1.86667,6,0,0.131136,0.193197,2.70476,1,2.70476,1,2,4,-0.25723,1,15,15,2,14,27,64,0.505102,5,0.17037,28
10,14,0.133333,1.86667,1.86667,1.86667,6,0,0.131136,0.193197,2.70476,1,2.70476,1,2,4,-0.25723,1,15,15,2,14,27,64,0.505102,5,0.17037,32
11,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,28
12,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,15,1,1,1,15,0,0,0,15,0,0
