111
60 475
1 4 -1
1 5 -1
1 13 1
1 14 -1
1 15 1
1 16 -1
1 17 -1
1 26 -1
1 28 1
1 29 -1
1 33 -1
1 34 1
1 35 -1
1 37 -1
1 46 -2
1 47 1
1 50 1
1 56 -1
1 59 1
2 5 -1
2 7 1
2 8 -1
2 11 1
2 17 -1
2 19 1
2 20 1
2 24 1
2 27 1
2 29 1
2 32 1
2 34 -2
2 37 -1
2 38 -1
2 43 1
2 44 1
2 50 1
2 51 -1
2 54 -1
3 5 -1
3 10 -2
3 12 1
3 15 1
3 21 -1
3 25 -1
3 27 1
3 28 -1
3 36 1
3 37 1
3 51 1
3 56 -1
3 60 1
4 17 -1
4 22 -1
4 25 1
4 27 -1
4 28 -1
4 50 -1
4 56 -1
5 8 1
5 9 -1
5 10 -1
5 21 -1
5 22 -1
5 27 -1
5 29 -1
5 34 1
5 35 1
5 38 1
5 46 1
5 51 -1
5 58 1
6 9 1
6 14 -1
6 15 -1
6 16 1
6 20 1
6 23 1
6 25 -1
6 28 -1
6 36 -1
6 42 -1
6 43 1
6 45 -1
6 46 1
6 47 1
6 49 1
6 58 1
7 9 1
7 10 1
7 17 1
7 22 -2
7 23 1
7 25 1
7 28 -1
7 36 -1
7 39 1
7 41 -1
7 42 1
7 43 -1
7 45 -1
7 47 -1
7 49 -1
7 52 -1
7 56 -1
7 58 -1
8 13 -1
8 22 1
8 24 -1
8 27 -1
8 32 -1
8 33 -1
8 37 1
8 40 1
8 44 1
8 45 -1
8 46 -1
8 47 -2
8 51 -1
8 54 -1
8 60 -1
9 13 -1
9 16 -1
9 19 1
9 21 1
9 26 -1
9 35 1
9 40 1
9 44 1
9 49 -1
9 55 1
9 56 -1
9 58 -1
9 60 1
10 21 1
10 28 1
10 34 2
10 35 -1
10 36 -1
10 37 -1
10 39 2
10 40 -1
10 41 -2
10 43 -1
10 46 -1
10 51 1
10 56 -1
10 58 -1
10 60 1
11 12 1
11 14 1
11 15 1
11 20 1
11 25 1
11 26 -1
11 31 1
11 38 -1
11 40 1
11 41 -1
11 42 1
11 43 -1
11 44 -1
11 46 1
11 47 1
11 48 -2
11 49 -1
11 57 -1
12 14 1
12 16 1
12 25 1
12 27 1
12 28 1
12 29 -1
12 40 1
12 46 -1
12 49 1
12 51 1
12 54 -1
12 57 -1
12 59 1
12 60 -1
13 14 1
13 15 1
13 26 -1
13 34 -1
13 43 -1
13 47 1
13 49 -1
13 52 -1
13 54 -1
13 58 -1
13 59 -1
14 15 1
14 28 -1
14 34 -1
14 40 1
14 42 1
14 45 1
14 46 1
14 48 -1
14 51 1
14 54 -1
14 59 1
15 20 2
15 23 -1
15 26 1
15 28 1
15 29 1
15 30 -1
15 31 1
15 34 -2
15 41 1
15 42 -1
15 43 -1
15 44 -1
15 45 -1
15 47 1
15 52 -1
15 58 1
16 18 -1
16 28 -1
16 31 -1
16 33 1
16 36 -1
16 40 -1
16 43 -1
16 46 -1
16 47 1
16 50 -1
16 52 1
16 56 1
16 59 2
17 19 -1
17 26 1
17 27 1
17 28 1
17 40 1
17 50 1
17 52 -1
17 58 -1
18 31 1
18 34 1
18 37 1
18 43 -1
18 51 1
18 52 1
18 59 -1
19 36 1
19 56 1
19 58 1
20 22 1
20 24 -1
20 25 -2
20 26 -1
20 29 1
20 32 1
20 34 1
20 37 -1
20 41 1
20 44 1
20 45 1
20 47 -1
20 49 1
20 52 1
21 36 1
21 38 -1
21 40 1
21 56 1
22 23 -1
22 25 -3
22 29 1
22 32 1
22 47 1
22 49 1
22 52 -1
22 56 1
23 26 -1
23 27 -1
23 39 1
23 40 1
23 43 -1
23 49 2
23 58 1
24 25 1
24 26 -1
24 32 1
24 41 1
24 42 -1
24 45 1
24 51 1
25 26 1
25 27 1
25 28 -1
25 29 -2
25 32 -1
25 42 -1
25 52 1
25 56 1
25 57 1
26 28 -1
26 29 -1
26 33 1
26 37 -1
26 39 -2
26 40 -1
26 42 1
26 43 -1
26 44 -1
26 46 2
26 49 -1
26 50 -2
26 52 1
26 54 -1
26 58 1
27 29 -1
27 31 -1
27 34 -1
27 38 1
27 39 1
27 40 -1
27 43 2
27 48 -1
27 49 -1
27 52 1
27 56 1
27 58 2
27 60 -1
28 29 -1
28 31 2
28 39 -1
28 40 1
28 42 2
28 46 -1
28 47 -1
28 50 2
28 52 -1
28 55 1
28 58 2
29 32 -1
29 33 1
29 34 1
29 35 -1
29 38 -1
29 44 1
29 46 1
29 49 1
29 55 -1
29 58 1
30 31 -2
30 32 -1
30 37 -1
30 41 1
30 43 1
30 47 -1
30 53 -1
30 55 -1
31 32 1
31 33 1
31 35 -1
31 43 -1
31 46 1
31 48 -1
31 52 2
31 53 -1
31 56 1
31 58 1
32 51 -1
32 53 1
32 55 1
33 34 -1
33 35 1
33 39 1
33 41 1
33 44 1
33 46 -1
33 50 1
33 51 -1
33 59 1
