111
40 335
1 1 31.31195150995061
1 2 -5.127002311818774
1 6 -10.027656476491531
1 9 15.10863158211965
1 10 2.4287955175050007
1 11 13.609040748758561
1 13 15.415467541413106
1 15 -2.107461614959506
1 17 28.594566684660744
1 20 -23.487328921367038
1 27 40.998673082540485
1 28 10.465677639829469
1 29 7.2467225345372075
1 32 3.146728861511108
1 34 -55.933169333459496
1 35 -31.0026031162719
1 36 -26.97335074664088
1 37 -33.337369098135035
1 38 20.218396049827422
2 2 6.248626206002026
2 4 -2.0476078136130957
2 6 15.02820615183433
2 9 -29.219804719273
2 10 -20.783318682660838
2 13 14.22559530155327
2 16 -4.256776073831459
2 17 -28.173928700004105
2 21 78.48946613340173
2 23 46.38617179853434
2 24 -49.25394241942237
2 25 46.92798757808033
2 26 46.186360246994326
2 29 -13.886361954324714
2 32 -0.10277825508059601
2 34 65.25856455939916
2 35 14.014064588462958
3 4 -21.33593852377227
3 7 -18.198911214301308
3 8 -8.856617761589176
3 9 -60.617790524833005
3 11 -21.60646057842365
3 15 -10.98167053768515
3 16 -8.464413276028573
3 17 -36.24243083058498
3 19 -0.6263032661376001
3 20 -41.94874473220152
3 21 2.808179771266797
3 23 3.6778293581201265
3 25 21.593006800049842
3 28 37.60741803647266
3 33 24.935971171605356
4 10 -17.614420758280566
4 13 33.8771227875238
4 17 48.26846294650467
4 19 -28.516709120656557
4 21 -30.87143952035128
4 22 -10.912407675480749
4 27 97.57193275603207
4 29 -69.86608164971692
4 31 -1.0637574643189143
4 32 -44.82355031873518
4 34 1.0390850800650508
4 37 -49.28496394506286
4 38 8.604959761181906
5 6 42.980487920764425
5 8 -14.55831646496781
5 11 18.09749637832441
5 15 -1.6088552214317775
5 18 -18.680182371956334
5 20 15.37217805628677
5 21 7.103720182373562
5 22 -9.666889889655065
5 23 34.32961043139414
5 25 51.79903173826309
5 26 -13.728288301214576
5 27 61.623769175419795
5 28 -59.42745782323827
5 29 -2.6334432474076537
5 30 32.306684957975314
5 33 0.023862888447012332
5 36 14.675833817306607
5 37 67.45526291693521
5 38 22.867612292891074
5 39 29.622040826814068
5 40 28.757058274308143
6 6 -37.18578815680262
6 7 -13.651363521749207
6 9 -9.214188864107587
6 10 2.2829403350976207
6 11 -18.605756284134223
6 12 -29.250766193904994
6 15 -19.46672282612503
6 16 15.523262180615824
6 19 73.96514015857676
6 26 -13.136419518335044
6 31 -18.494091183329783
6 33 37.247849107675556
6 35 42.33333915941697
6 36 47.62022918481294
6 37 -0.40349140992097093
6 40 -8.886762464889731
7 17 -26.069557431450622
7 18 -63.21130878805102
7 19 -36.451261636507844
7 22 6.6384010227284875
7 24 -21.335534045811247
7 31 -3.013099377644103
7 33 -67.9236203532859
7 34 -18.756903657646543
7 36 -64.539237439806
7 38 -49.06169914842175
7 39 -20.541556869821807
8 8 -25.562932083634287
8 9 -2.837551355242586
8 11 -36.492161924022255
8 20 -29.679062298679288
8 23 -22.31294672874491
8 24 -57.377302091193435
8 26 43.754308167964915
8 31 74.75340395238071
8 35 13.076560211632247
8 37 -2.523397007160283
8 38 -21.87771635937113
9 12 -11.138565532228432
9 13 19.970737251311302
9 15 15.193098357668699
9 17 33.2671127631356
9 19 -89.24704257854671
9 22 7.364813092941359
9 26 -50.52649599974933
9 27 -78.14676234883336
9 30 -5.50102665737916
9 34 -12.161177402781476
9 39 -28.90013297103736
10 10 0.7185104009405391
10 11 -24.999369015548464
10 14 -40.42618232849668
10 15 -6.871653600862722
10 16 66.61908085678371
10 17 -0.4029883617161497
10 18 -30.3643150944373
10 25 -8.104240832922494
10 28 40.202190855226675
10 29 -66.97946492642669
10 30 19.456962734992057
10 31 1.6238451686649658
10 35 -27.140823129553393
10 38 6.224477722517307
11 15 24.54040710379011
11 17 -4.921062419868493
11 20 -16.969584463740617
11 21 -37.20235442860856
11 22 -9.186400920246268
11 23 43.593503718406886
11 24 32.207807417852344
11 25 -15.66769536942295
11 27 50.21209184968446
11 28 -34.29863569291287
11 33 5.510099874721285
11 35 7.614804941469871
11 36 37.887060067170545
11 40 -20.441116181634243
12 12 -48.189611862417394
12 15 -15.890089174707128
12 18 13.459650062862119
12 20 -34.0922724670425
12 21 39.5349191729016
12 22 -24.607269996162785
12 24 -6.719476155628726
12 25 -53.64602111587923
12 27 40.48427343994687
12 29 -2.4272132399791784
12 30 -74.80642953027662
12 31 -61.80151277285958
12 33 38.69946519129889
12 34 -25.973662698648127
12 38 -10.916579616637852
12 39 -11.416508890566114
13 13 7.961456183831583
13 14 -38.790245109118906
13 15 -40.152004802469676
13 16 55.25008964914557
13 17 -35.76112577498653
13 19 -16.590971960757127
13 21 1.635186520341525
13 23 41.66685800674225
13 26 19.435771212420306
13 33 -38.83231739336939
13 36 -2.691644894884712
13 39 34.56005485032159
14 14 -68.28515928569608
14 15 -88.8292767486817
14 20 -10.571784808016998
14 21 -30.267287606639364
14 23 -16.54608549483631
14 24 49.300621818225295
14 27 -56.8614913109191
14 28 42.89642134567238
14 29 -37.24619910972538
14 30 2.877369410909981
14 31 66.18788387284951
14 32 -10.700274249163606
14 34 12.614731924532006
14 35 -11.88450765264395
14 39 27.039101729381226
14 40 -1.4407654644977093
15 20 14.092325121418062
15 21 -0.30417286887257117
15 27 -29.407385183510907
15 29 22.688368875798574
15 30 35.94973229863835
15 31 40.99567558199644
15 37 25.400587647623567
16 18 -1.9334561744779715
16 20 -54.93757525565456
16 24 2.662475155917763
16 25 -17.693088029666256
16 26 1.4196587800923308
16 27 22.029863824932665
16 28 -8.63896492602669
16 29 -55.910655305108435
16 33 0.01596425959885748
16 35 -7.476709275356484
16 36 -45.92206977936648
16 38 -19.847295031665492
16 39 -58.269915388560065
16 40 -25.672414453821542
17 18 -13.95169378409705
17 21 10.049115389888048
17 22 16.88057483385698
17 34 78.48424029083475
18 18 46.46179851523861
18 23 37.492105172035934
18 25 42.75227450005243
18 29 20.284384924969505
18 30 29.147534992057306
18 31 21.959506789440365
18 33 12.63356885866207
18 37 -22.6078968450365
18 38 0.9037825495217836
18 40 -1.7750556279978136
19 22 -24.571960008290425
19 23 22.17415042514196
19 26 -60.827042569991065
19 29 -2.0096892772263124
19 32 -20.446410698724584
19 33 42.13565179625697
19 38 34.260293995205245
20 21 12.722752381158406
20 23 -41.82372852989862
20 27 20.55048938158484
20 28 -23.188540064827386
20 30 8.860311887476973
20 32 -36.446193888117264
20 33 -68.2620540474106
20 34 -3.087811452854107
20 35 -19.82964138711377
20 37 44.71868191389824
21 27 -24.258595217225807
21 30 67.49235324222339
21 33 -14.818570515715193
21 39 -25.657665477288123
22 26 -39.825692827189016
22 27 -39.955243829571856
22 32 -4.539417776770273
22 37 19.517051345112137
22 38 -2.087424129064434
23 27 -30.35956405316097
23 28 -2.8179709236150265
23 30 -5.0493296817566815
23 31 15.537302483262497
23 33 20.424824047541534
23 34 -62.30932654336715
23 37 -13.48566805144251
23 38 23.214755856550127
23 40 -5.941455657871402
24 25 -19.78781219248823
24 27 -39.99611604921351
24 29 -9.041060477858199
24 35 -39.86137932239282
24 40 4.264641340631629
25 25 68.89862901596456
25 26 -23.550604679908936
25 27 -14.85991556159401
25 28 25.54413432518136
25 29 -30.255348044877046
25 30 -10.650635242066906
25 31 -2.01230427390016
25 32 -10.553843237782411
25 35 -31.90066815842184
25 36 12.781702831158434
25 37 26.08025685881054
25 40 -20.59847283477676
26 26 43.23667488225262
26 34 39.06997575530091
26 36 -52.431631562354866
26 40 -7.836928009919522
27 31 -37.17533185520294
27 37 11.67377516194215
28 32 -54.79224735520507
28 34 1.1570638011040848
28 35 -43.59419918654657
28 37 53.04823930711574
28 39 -19.94121538070632
28 40 -24.63459307871135
29 30 29.921674359782717
29 37 49.20710679015755
29 40 12.631926198442828
30 32 -7.318439581670559
30 36 55.241716327438
30 37 43.052412187762265
31 31 -47.058762336262035
31 33 -75.73181262882005
31 34 -55.28729943352364
31 37 -44.16446495226403
31 39 7.024877972966174
32 33 67.77379586961622
32 35 15.694923336370964
32 36 -0.395272554205196
32 39 14.596937585241818
33 34 -49.782466465778626
33 37 -24.77984975573008
33 39 11.527538673393089
33 40 30.779157630079883
34 35 35.2496496637341
34 38 -5.816782583671786
34 40 -24.121742068532182
35 36 -27.35960394863554
35 39 49.84786609526085
36 37 49.503045492360194
36 39 -3.3680970061186764
37 37 -16.228159200780144
37 38 -17.968666706976038
37 40 -35.13666098776618
39 39 -15.60529101014961
40 335
1 1 -33.86641360276957
1 2 23.617082350390426
1 6 6.779138320574647
1 9 -27.200964252974032
1 10 -12.65681923465944
1 11 -16.82732577932982
1 13 -18.85224027359719
1 15 -4.706607191672951
1 17 -81.33099888066462
1 20 40.466222978196434
1 27 -68.4794709279788
1 28 2.857404659414306
1 29 11.535674468884043
1 32 -50.454431436097124
1 34 67.12992919859694
1 35 60.98480679911046
1 36 15.917737411653723
1 37 15.840927347668524
1 38 -6.458471332560133
2 2 3.5120439095247526
2 4 -31.837631166840573
2 6 -3.390541994306423
2 9 -2.2198588071340524
2 10 -9.944235053708503
2 13 -64.34873117454465
2 16 -4.517597209965129
2 17 11.363270986520254
2 21 -55.41048739817699
2 23 -37.93429511139752
2 24 38.42118642493062
2 25 -64.45977488347154
2 26 -28.14035718725804
2 29 19.057041830028588
2 32 21.397277484803652
2 34 10.83410938131834
2 35 -40.91499341002234
3 4 1.4930133385516595
3 7 -6.4515006894504126
3 8 39.37309053294685
3 9 34.16590200606908
3 11 16.75127011897406
3 15 -7.017182088201969
3 16 -14.122301868409345
3 17 -5.533441306883505
3 19 13.599279989316509
3 20 14.77627376952984
3 21 10.431428704424418
3 23 -18.085888589369848
3 25 -23.77042053195714
3 28 -4.519375715584809
3 33 -13.75373925057829
4 10 -14.772767721303726
4 13 -9.07780276037556
4 17 -58.9575537676394
4 19 26.18110789888806
4 21 32.858363791015435
4 22 26.746445468283902
4 27 -77.78052235735193
4 29 59.38915262956904
4 31 17.482149740953577
4 32 70.12364333832049
4 34 -2.3535709052983194
4 37 35.74307996825738
4 38 -35.6090757123164
5 6 -15.611046346726951
5 8 22.962708672355156
5 11 26.71430192402053
5 15 26.203282497188845
5 18 79.44569246125846
5 20 62.95879726868926
5 21 -6.443082802565065
5 22 53.44144980521893
5 23 -37.7781369311932
5 25 -35.83277886018158
5 26 25.473891555874033
5 27 -41.33327693540292
5 28 16.942507262599573
5 29 0.7346520544273402
5 30 -11.595939402050703
5 33 8.108953799837849
5 36 -36.6668318865832
5 37 -53.7598518031282
5 38 -41.39426749190487
5 39 -38.60442059839273
5 40 -10.54568759605366
6 6 60.01214823801541
6 7 11.850151365638382
6 9 41.80200706696909
6 10 13.293709609020462
6 11 -9.61706763663479
6 12 -7.968877206624203
6 15 15.188444325116171
6 16 -13.68098569237182
6 19 -18.46142077029499
6 26 -10.384081447996696
6 31 3.9279450770732325
6 33 -40.000888156061094
6 35 6.217956530368185
6 36 -41.353800097094314
6 37 -11.23345481849793
6 40 15.358553267832187
7 17 -6.087259343432479
7 18 62.412738042741054
7 19 37.736054384068446
7 22 -39.95207926113451
7 24 -31.237795808713862
7 31 23.26472496385804
7 33 98.50991731320077
7 34 13.89172623786537
7 36 49.587501868920405
7 38 41.8386195652183
7 39 -8.756687631331877
8 8 0.45540730777709665
8 9 25.578578473417807
8 11 23.299214787266664
8 20 -4.355423293826155
8 23 20.286027442086862
8 24 -2.560770910542831
8 26 -63.36833785862701
8 31 -73.72210950690781
8 35 -18.224305296530698
8 37 -17.059523112611853
8 38 15.539166565593673
9 12 4.446716315543212
9 13 1.5183023981093482
9 15 -57.18546162833695
9 17 19.455507006876584
9 19 82.20984301052883
9 22 5.770660073417284
9 26 40.04969662306476
9 27 38.21459057101652
9 30 -34.429621860512356
9 34 22.785631271317683
9 39 52.509117213618985
10 10 -66.99523458244907
10 11 8.710677368159397
10 14 26.213647494952248
10 15 53.75686293284668
10 16 -41.058211844928685
10 17 -27.685047601245355
10 18 -7.366702014089355
10 25 -9.30785707294579
10 28 -17.346376006778378
10 29 7.718155625153582
10 30 -44.591121776271265
10 31 -1.7121364483927186
10 35 -4.7486117056423724
10 38 6.552673178537506
11 15 1.890034200772121
11 17 20.0379776994177
11 20 2.0910741837617817
11 21 -4.156805498315782
11 22 29.699834853643885
11 23 -31.985741758686654
11 24 -1.690314439108646
11 25 -1.2657046501225864
11 27 -13.347339777079545
11 28 7.394629789722133
11 33 10.31568622008345
11 35 -34.34136389969462
11 36 -4.079815942415873
11 40 58.122188402635885
12 12 60.490753496983885
12 15 36.60034453720491
12 18 -7.300631100900334
12 20 56.28595541307702
12 21 6.270933326674448
12 22 60.09710349156614
12 24 -27.564638561992655
12 25 58.44877514438313
12 27 13.214483748364989
12 29 -24.082230612911996
12 30 23.774791502040127
12 31 26.2430512769923
12 33 -27.30366334760775
12 34 6.301219333754636
12 38 -22.78851058588043
12 39 7.540410732064598
