 10 
 1000 49559 
 1 3 68 
 1 39 -91 
 1 46 40 
 1 62 -70 
 1 68 10 
 1 78 -98 
 1 93 -39 
 1 104 98 
 1 111 -46 
 1 130 75 
 1 131 87 
 1 152 94 
 1 155 -53 
 1 160 58 
 1 162 69 
 1 166 -83 
 1 170 89 
 1 174 92 
 1 200 -45 
 1 233 38 
 1 235 -94 
 1 264 -74 
 1 272 -11 
 1 296 -93 
 1 298 -54 
 1 303 89 
 1 318 38 
 1 330 1 
 1 339 20 
 1 351 59 
 1 372 -44 
 1 375 60 
 1 379 4 
 1 390 70 
 1 394 -60 
 1 397 -54 
 1 398 -6 
 1 400 48 
 1 422 -48 
 1 437 -81 
 1 440 49 
 1 451 4 
 1 453 10 
 1 486 -19 
 1 502 -83 
 1 503 43 
 1 504 43 
 1 530 18 
 1 536 -86 
 1 540 3 
 1 543 -87 
 1 548 27 
 1 549 69 
 1 550 60 
 1 551 5 
 1 564 85 
 1 575 71 
 1 577 61 
 1 585 -67 
 1 593 -50 
 1 599 31 
 1 612 -10 
 1 617 44 
 1 634 -92 
 1 662 61 
 1 690 -89 
 1 691 -29 
 1 699 -4 
 1 701 -75 
 1 703 -34 
 1 714 23 
 1 725 1 
 1 736 -72 
 1 740 -98 
 1 741 -62 
 1 758 75 
 1 773 86 
 1 777 93 
 1 826 94 
 1 833 -37 
 1 843 -67 
 1 849 -40 
 1 858 -10 
 1 860 -10 
 1 862 3 
 1 880 -20 
 1 905 31 
 1 909 66 
 1 919 -56 
 1 926 -41 
 1 933 -30 
 1 944 -45 
 1 960 -23 
 1 963 -42 
 1 979 -50 
 1 982 -6 
 1 989 -98 
 1 991 79 
 1 998 58 
 1 999 49 
 2 5 -20 
 2 27 21 
 2 30 54 
 2 40 41 
 2 72 34 
 2 78 -40 
 2 83 32 
 2 94 -63 
 2 105 -37 
 2 111 -89 
 2 116 10 
 2 121 36 
 2 134 -11 
 2 138 -51 
 2 140 -87 
 2 143 73 
 2 146 -79 
 2 151 -80 
 2 155 82 
 2 156 7 
 2 173 28 
 2 181 -91 
 2 201 83 
 2 228 28 
 2 245 2 
 2 253 -91 
 2 255 39 
 2 277 -1 
 2 293 -3 
 2 309 6 
 2 311 -43 
 2 331 78 
 2 332 -97 
 2 342 -70 
 2 348 -78 
 2 355 78 
 2 356 -77 
 2 371 -31 
 2 392 -93 
 2 395 -50 
 2 399 -40 
 2 411 32 
 2 414 21 
 2 421 71 
 2 424 -60 
 2 435 -64 
 2 436 20 
 2 440 54 
 2 454 100 
 2 462 -95 
 2 465 -31 
 2 468 75 
 2 482 -35 
 2 484 67 
 2 488 -84 
 2 494 -59 
 2 505 27 
 2 533 95 
 2 542 -61 
 2 544 -38 
 2 547 -15 
 2 559 10 
 2 562 100 
 2 584 93 
 2 585 -29 
 2 597 19 
 2 623 54 
 2 628 -12 
 2 633 -98 
 2 654 62 
 2 677 46 
 2 690 37 
 2 702 28 
 2 704 99 
 2 722 -8 
 2 727 63 
 2 728 -70 
 2 740 74 
 2 745 64 
 2 747 -87 
 2 759 -11 
 2 760 -92 
 2 765 48 
 2 766 54 
 2 773 95 
 2 774 47 
 2 775 -33 
 2 796 -25 
 2 812 69 
 2 835 3 
 2 849 90 
 2 853 -48 
 2 862 100 
 2 866 -8 
 2 871 -74 
 2 872 -16 
 2 875 5 
 2 890 -22 
 2 893 -69 
 2 899 -24 
 2 911 -39 
 2 912 45 
 2 915 16 
 2 953 32 
 3 3 -46 
 3 10 -86 
 3 15 81 
 3 17 56 
 3 21 50 
 3 34 11 
 3 41 -25 
 3 44 -30 
 3 66 -99 
 3 78 71 
 3 79 69 
 3 80 -51 
 3 81 52 
 3 89 -70 
 3 109 67 
 3 117 29 
 3 121 -37 
 3 137 24 
 3 143 70 
 3 169 90 
 3 171 -38 
 3 172 -35 
 3 192 -48 
 3 196 50 
 3 197 24 
 3 209 -7 
 3 210 61 
 3 214 94 
 3 221 66 
 3 222 -26 
 3 223 76 
 3 239 -44 
 3 240 81 
 3 260 95 
 3 270 -83 
 3 298 -55 
 3 306 38 
 3 343 72 
 3 395 -52 
 3 405 -64 
 3 415 -91 
 3 416 -49 
 3 428 -96 
 3 433 55 
 3 452 26 
 3 456 -6 
 3 460 -16 
 3 462 -81 
 3 475 76 
 3 498 -46 
 3 512 30 
 3 534 -11 
 3 541 36 
 3 546 9 
 3 558 64 
 3 614 -20 
 3 618 -54 
 3 625 32 
 3 628 69 
 3 632 15 
 3 635 16 
 3 636 65 
 3 639 88 
 3 682 84 
 3 695 76 
 3 730 -29 
 3 734 63 
 3 735 -23 
 3 754 -20 
 3 755 81 
 3 759 -45 
 3 768 -80 
 3 782 31 
 3 783 54 
 3 785 89 
 3 795 24 
 3 812 84 
 3 824 65 
 3 831 89 
 3 832 87 
 3 850 67 
 3 858 2 
 3 879 97 
 3 902 28 
 3 918 14 
 3 924 99 
 3 930 -1 
 3 931 71 
 3 945 -58 
 3 964 29 
 3 975 -73 
 3 989 62 
 3 995 33 
 4 41 -97 
 4 52 66 
 4 73 -53 
 4 81 -52 
 4 101 -84 
 4 111 45 
 4 131 1 
 4 133 53 
 4 140 34 
 4 142 -53 
 4 144 -24 
 4 148 -18 
 4 154 32 
 4 162 -61 
 4 184 -45 
 4 194 86 
 4 201 52 
 4 221 64 
 4 231 39 
 4 236 45 
 4 250 -7 
 4 287 54 
 4 288 -29 
 4 298 -50 
 4 321 25 
 4 334 -34 
 4 365 -53 
 4 370 61 
 4 374 13 
 4 381 6 
 4 383 -60 
 4 405 17 
 4 426 -82 
 4 440 51 
 4 453 32 
 4 476 48 
 4 485 90 
 4 507 98 
 4 528 8 
 4 530 4 
 4 537 -61 
 4 541 -81 
 4 542 27 
 4 555 61 
 4 557 -86 
 4 571 -9 
 4 591 -69 
 4 595 -89 
 4 617 79 
 4 620 14 
 4 651 -31 
 4 660 -43 
 4 665 -88 
 4 675 -56 
 4 687 15 
 4 693 47 
 4 695 -13 
 4 700 6 
 4 711 30 
 4 726 73 
 4 727 -80 
 4 728 -65 
 4 733 16 
 4 740 30 
 4 743 84 
 4 761 68 
 4 769 55 
 4 770 -61 
 4 783 -48 
 4 812 -67 
 4 821 -4 
 4 832 49 
 4 837 -49 
 4 849 -97 
 4 869 -46 
 4 879 44 
 4 886 30 
 4 892 -10 
 4 899 43 
 4 905 6 
 4 911 -21 
 4 947 7 
 4 953 -48 
 4 954 27 
 4 972 -98 
 4 978 -45 
 4 983 84 
 4 984 -98 
 4 985 -41 
 4 989 -48 
 4 993 84 
 5 6 49 
 5 7 81 
 5 18 -16 
 5 30 16 
 5 41 80 
 5 47 69 
 5 74 67 
 5 84 3 
 5 87 -35 
 5 88 -37 
 5 103 -6 
 5 105 16 
 5 108 -43 
 5 111 -60 
 5 117 52 
 5 119 19 
 5 131 -54 
 5 153 -37 
 5 160 70 
 5 176 -30 
 5 180 -56 
 5 181 10 
 5 185 24 
 5 195 -69 
 5 199 70 
 5 233 64 
 5 236 25 
 5 240 58 
 5 243 16 
 5 250 -58 
 5 275 -15 
 5 284 96 
 5 285 -57 
 5 304 56 
 5 305 -11 
 5 322 3 
 5 330 57 
 5 335 23 
 5 344 -44 
 5 370 68 
 5 394 -62 
 5 398 -93 
 5 406 92 
 5 411 -87 
 5 419 -23 
 5 421 -48 
 5 447 41 
 5 458 -18 
 5 459 97 
 5 470 -92 
 5 476 -28 
 5 495 99 
 5 498 71 
 5 519 -35 
 5 535 -50 
 5 546 46 
 5 548 76 
 5 549 -17 
 5 556 -56 
 5 559 -81 
 5 570 -79 
 5 584 -25 
 5 601 2 
 5 609 -96 
 5 612 -97 
 5 619 -60 
 5 631 -18 
 5 642 4 
 5 644 22 
 5 672 31 
 5 694 10 
 5 707 67 
 5 714 -66 
 5 724 -25 
 5 726 48 
 5 730 -4 
 5 731 24 
 5 732 51 
 5 735 60 
 5 743 -45 
 5 750 28 
 5 756 -99 
 5 761 80 
 5 812 -19 
